"Year","January","February","March","April","May","June","July","August","September","October","November","December"
1904,-0.805,-0.807,-0.727,-0.565,-0.414,-0.421,-0.505,-0.395,-0.683,-0.43,0.16,-0.233
1905,-0.22,-1.193,-0.561,-0.488,-0.251,-0.261,-0.214,-0.246,-0.291,-0.21,0.11,-0.173
1906,-0.457,-0.776,-0.342,0.379,-0.023,-0.068,-0.166,-0.135,-0.3,0.05,-0.531,0.135
1907,-0.719,-0.983,-0.654,-0.622,-0.871,-0.694,-0.516,-0.463,-0.389,0.028,-0.813,-0.582
1908,-0.323,-0.275,-1.068,-0.417,-0.122,-0.137,-0.111,-0.446,-0.1,-0.343,-0.814,-0.53
1909,-1.181,-0.477,-0.651,-0.667,-0.623,-0.449,-0.235,-0.07,-0.162,-0.038,0.172,-0.346
1910,-0.144,-0.347,-0.606,-0.154,-0.284,-0.302,-0.038,-0.133,-0.325,-0.23,-0.743,-0.9
1911,-0.93,-0.718,-0.873,-0.268,-0.45,-0.348,-0.242,-0.346,-0.433,0.029,-0.113,-0.152
1912,-0.162,0.113,-0.914,-0.021,-0.028,0.062,-0.533,-0.72,-0.863,-0.869,-0.528,-0.553
1913,-0.496,-0.781,-0.724,-0.266,-0.552,-0.415,-0.166,-0.132,-0.329,-0.165,-0.01,0.543
1914,0.843,0.095,-0.297,-0.187,0.035,0.099,0.009,-0.101,-0.137,0.197,-0.282,0.033
1915,-0.263,0.123,-0.116,0.404,0.196,-0.134,0.08,-0.099,-0.245,-0.239,0.139,-0.007
1916,0.05,-0.149,-0.423,-0.205,-0.291,-0.496,-0.25,-0.274,-0.361,-0.176,-0.457,-1.244
1917,-0.416,-0.836,-0.822,-0.46,-0.841,-0.547,-0.075,-0.372,-0.339,-0.664,-0.246,-1.32
1918,-0.638,-0.682,-0.449,-0.652,-0.793,-0.493,-0.338,-0.447,-0.195,0.195,-0.376,-0.777
1919,-0.386,-0.364,-0.548,0.178,-0.329,-0.219,-0.053,-0.097,-0.117,0.106,-0.579,-0.387
1920,0.287,-0.449,-0.051,0.006,-0.177,-0.358,-0.088,-0.206,-0.312,-0.215,-0.528,-0.978
1921,0.395,-0.031,-0.232,0.019,-0.106,-0.017,0.066,-0.353,-0.212,0.041,-0.22,0.048
1922,-0.419,-0.809,-0.129,0.098,-0.234,-0.142,-0.094,-0.348,-0.366,-0.193,-0.031,0.057
1923,-0.086,-0.638,-0.435,-0.541,-0.444,-0.217,-0.408,-0.305,-0.235,0.245,0.266,0.275
1924,-0.265,-0.291,0.059,-0.347,-0.15,-0.167,-0.083,-0.265,-0.172,-0.066,0.282,-0.167
1925,-0.311,-0.525,-0.236,0.099,-0.288,-0.402,-0.312,-0.119,-0.129,-0.068,0.245,0.721
1926,0.852,0.486,0.5,-0.12,-0.406,-0.242,-0.223,-0.033,-0.018,0.302,0.182,-0.316
1927,-0.288,-0.227,-0.646,-0.262,-0.184,-0.24,-0.079,-0.196,0.144,0.64,0.213,-0.433
1928,0.385,0.148,-0.368,-0.095,-0.185,-0.401,-0.088,-0.194,-0.089,0.198,0.209,0.2
1929,-0.594,-1.076,-0.232,-0.285,-0.457,-0.595,-0.44,-0.256,-0.296,0.172,-0.007,-1.136
1930,-0.286,-0.119,0.188,-0.208,-0.314,-0.178,0.049,0.004,-0.262,-0.035,0.414,0.094
1931,0.072,-0.532,-0.073,-0.212,-0.378,0.033,0.178,0.19,0.16,0.657,0.096,0.319
1932,0.959,-0.266,-0.396,0.402,-0.125,-0.148,-0.007,-0.174,0.184,0.405,-0.253,-0.173
1933,-0.485,-0.596,-0.489,-0.241,-0.32,-0.408,-0.15,-0.151,-0.264,-0.046,-0.254,-0.565
1934,-0.194,0.447,-0.581,-0.367,0.129,-0.118,-0.037,-0.136,-0.363,0.137,0.22,0.267
1935,-0.489,0.838,0.016,-0.609,-0.485,-0.239,-0.083,-0.144,-0.131,0.203,-0.701,-0.276
1936,-0.406,-0.742,-0.348,-0.262,-0.126,-0.179,0.224,-0.065,-0.114,0.176,0.063,0.206
1937,-0.226,0.278,-0.505,-0.248,0.023,0.054,-0.025,0.093,0.27,0.432,0.189,-0.233
1938,0.227,0.13,0.291,0.523,0.091,-0.22,0.062,0.043,0.292,0.488,0.384,-0.181
1939,0.266,-0.02,-0.436,-0.05,0.155,0.019,0.011,0.028,-0.169,-0.068,0.013,1.23
1940,-0.347,0.122,0.006,0.325,-0.055,0.044,0.2,-0.057,0.17,0.18,-0.081,0.423
1941,0.072,0.349,-0.181,0.145,0.1,0.09,0.285,0.107,-0.305,0.399,-0.221,-0.029
1942,0.424,-0.403,-0.1,0.034,-0.055,0.034,-0.18,-0.134,0.016,0.324,0.223,0.209
1943,-0.293,0.254,-0.258,0.265,0.097,-0.388,0.043,-0.142,-0.049,0.612,0.091,0.537
1944,0.862,0.288,0.15,0.051,-0.021,-0.066,0.051,0.113,0.317,0.501,-0.077,-0.257
1945,-0.161,-0.644,-0.185,0.261,-0.295,-0.212,-0.189,0.379,0.066,0.271,-0.1,-0.555
1946,0.319,0.166,-0.165,0.437,-0.027,-0.252,-0.015,-0.1,-0.07,-0.022,0.077,-0.53
1947,-0.059,-0.001,0.389,0.292,-0.058,-0.103,-0.05,-0.084,0.034,0.71,0.264,-0.049
1948,0.703,-0.079,-0.465,0.093,0.135,0.105,0.012,-0.044,0.002,0.267,0.026,-0.2
1949,0.556,-0.535,-0.348,-0.061,-0.083,-0.328,-0.208,-0.1,-0.203,0.229,-0.011,-0.239
1950,-0.646,-0.546,-0.149,-0.272,-0.101,-0.166,-0.259,-0.473,-0.169,-0.137,-0.754,-0.145
1951,-0.527,-0.947,-0.294,-0.011,0.15,-0.241,-0.133,0.113,0.192,0.391,0.065,0.632
1952,0.391,0.108,-0.426,0.104,-0.034,-0.057,0.178,0.081,0.142,-0.134,-0.705,-0.021
1953,0.31,0.358,0.346,0.501,0.133,0.093,0.002,0.162,0.09,0.315,-0.216,0.322
1954,-0.613,-0.207,-0.273,-0.208,-0.375,-0.117,-0.138,-0.04,-0.011,0.279,0.454,-0.112
1955,0.75,-0.122,-0.796,-0.274,-0.199,0.025,-0.139,0.391,-0.175,0.441,-0.163,-0.363
1956,-0.178,-0.485,-0.476,-0.462,-0.672,-0.321,-0.198,-0.702,-0.342,-0.356,-0.401,-0.12
1957,-0.203,-0.162,-0.37,-0.11,-0.163,0.142,-0.295,0.063,0.097,0.101,0.218,0.628
